StudentID,Quiz1,Quiz2,Test1,Assignment1,SpecialEvent1,Quiz3,Quiz4,Test2,Assignment2,Quiz5,Quiz6,Test3,Assignment3,SpecialEvent2,Final
76,18,16,78,59,F,13,16,73,58,18,11,89,69,F,248
77,22,14,63,40,P,22,21,98,42,14,16,61,43,P,218
78,17,20,74,49,P,15,16,89,62,15,25,76,56,F,228
79,19,14,93,70,P,20,23,92,51,16,15,97,47,P,247
80,18,22,63,52,P,24,10,100,46,16,24,72,46,P,257
81,12,15,66,40,P,19,16,77,75,16,22,100,65,P,269
82,17,18,78,58,P,14,11,94,71,17,17,95,41,P,215
83,19,17,90,40,P,10,11,65,42,11,14,66,42,P,210
84,22,23,60,54,F,25,12,87,48,22,18,76,43,F,286
85,12,21,97,44,F,15,14,97,48,23,25,60,55,F,239
86,25,13,81,56,P,10,14,94,43,25,13,89,72,P,233
87,11,16,97,45,P,20,14,89,40,11,23,90,55,P,207
88,19,13,83,74,P,12,16,96,49,18,24,87,75,P,272
89,11,16,85,46,F,23,11,62,50,12,16,71,45,P,292
90,22,19,71,43,F,12,24,73,63,19,18,92,60,P,279
91,17,15,95,66,P,20,19,85,64,12,23,85,57,F,291
92,10,10,60,46,P,18,18,79,75,14,10,70,48,P,255
93,24,12,63,46,P,13,23,89,74,23,24,89,70,P,216
94,12,10,72,44,P,20,13,99,41,18,13,72,73,P,254
95,19,21,70,42,P,18,19,88,49,13,24,96,74,P,236
96,16,19,66,57,P,12,19,74,42,19,22,88,40,P,271
97,21,21,68,64,P,10,13,95,62,24,15,65,64,P,271
98,22,24,90,66,F,13,10,97,45,22,13,91,68,P,291
99,23,11,62,41,F,18,14,89,59,18,18,70,69,P,254
100,23,19,96,64,F,11,18,79,63,16,18,99,45,P,246
